order-date,product-name,cost-price,mrp,discount,selling-price
09-11-2020,trousers,14.62,42.21,0.27,30.81
09-05-2023,tshirt,153.85,412.23,0.08,379.25
31-10-2021,shorts,54.76,108.01,0.09,98.29
23-06-2023,blouse,153.7,183.08,0.39,111.68
10-03-2023,jacket,199.69,157.12,0.1,141.41
31-10-2021,shirt,53.19,268.96,0.46,145.24
09-09-2021,saree,129.33,401.44,0.45,220.79
03-04-2023,saree,105.94,114.13,0.05,108.42
22-06-2020,shorts,147.1,233.59,0.36,149.5
11-05-2020,blouse,107.98,162.91,0.13,141.73
14-03-2021,blouse,157.55,189.08,0.32,128.57
18-01-2024,saree,70.82,330.01,0.05,313.51
13-09-2021,jacket,42.61,303.16,0.47,160.67
18-09-2022,tshirt,106.72,365.54,0.31,252.22
03-05-2022,jeans,36.29,264,0.34,174.24
02-03-2021,jeans,194.9,310.25,0.32,210.97
20-02-2021,blouse,14.3,168.98,0.27,123.36
11-11-2023,shorts,185.47,232.66,0.07,216.37
18-12-2021,trousers,170.02,210.98,0.46,113.93
29-11-2022,saree,50.62,220.7,0.12,194.22
25-05-2022,shorts,131.19,232.57,0.17,193.03
08-01-2021,jacket,21.36,307.86,0.41,181.64
27-06-2023,blouse,77.13,183.82,0.19,148.89
27-04-2024,dress,162.09,252.31,0.49,128.68
07-06-2020,jacket,138.69,266.44,0.49,135.88
02-12-2019,dress,33.09,323.34,0.16,271.61
28-01-2024,shorts,76.57,329.44,0.38,204.25
05-08-2023,jeans,23.52,312.56,0.2,250.05
02-01-2024,jeans,94.22,221.71,0.33,148.55
13-02-2023,trousers,183.36,281.91,0.08,259.36
11-11-2022,tshirt,139.63,235.11,0.37,148.12
08-11-2021,tshirt,59.6,347.28,0.33,232.68
12-05-2023,shirt,181.41,390.33,0.3,273.23
05-09-2022,jacket,42,209.51,0.39,127.8
11-06-2021,shorts,117.43,233.95,0.29,166.1
26-09-2021,shirt,65.89,263.89,0.49,134.58
08-08-2021,dress,89.7,319.26,0.1,287.33
23-05-2024,blouse,21.9,291.62,0.13,253.71
15-11-2022,jeans,145.57,351.96,0.43,200.62
06-04-2021,jeans,119.82,211.14,0.42,122.46
29-09-2020,shirt,71.09,359.35,0.33,240.76
02-08-2019,skirt,108.49,395.69,0.37,249.28
26-12-2021,dress,189.52,475.31,0.29,337.47
03-08-2023,blouse,22.42,236.82,0.11,210.77
19-08-2023,saree,129.55,395.24,0.19,320.14
07-09-2021,jeans,153.02,311.38,0.18,255.33
03-07-2020,dress,149.03,162.55,0.38,100.78
23-04-2022,saree,198.47,216.48,0.4,129.89
29-04-2022,skirt,187.47,293.59,0.46,158.54
20-01-2020,jacket,112.8,197.94,0.28,142.52
